카테고리,순위,제품명 (브랜드),핵심 성분,1회 제공량 기준 함량,중복/과다복용 주의사항 (알고리즘 기준),1일 섭취 권장량,권장 시간대
비타민 D,3,CGN 비타민 D3 5000IU,비타민 D,D 125㎍ (5000 IU),칼슘제와 스캔 시 고칼슘혈증 경고,1캡슐,
철분,1,솔가 철분 25,철 (Iron),철 25mg,종합비타민과 스캔 시 남성 기준 과다 복용 주의,1캡슐,공복
철분,2,나우푸드 철분,철 (Iron),철 18mg,상한선(45mg) 필터링 로직에 합산,1캡슐,
철분,3,네이처메이드 철분,철 (Iron),철 65mg,"단일만으로 상한선 초과, 절대 중복 스캔 금지",1캡슐,
마그네슘,1,나우푸드 구연산 마그네슘,마그네슘,마그네슘 400mg,상한선(350mg) 초과. 과수면 및 설사 경고,1일 1정 ,저녁 식사 후 또는 자기전 1-2시간 전
마그네슘,2,닥터베스트 고흡수 마그네슘,마그네슘,마그네슘 200mg,칼슘과 1:2 비율 추천 로직에 활용 가능,1일 2정,
마그네슘,3,솔가 마그네슘 위드 비타민B6,마그네슘 / 비타민B6,마그네슘 400mg / B6 25mg,함정: B6가 포함되어 있어 종합비타민과 중복 주의,1일 1정,
아연,1,나우푸드 L-옵티징크,아연,아연 30mg,얼라이브(11mg)와 스캔 시 상한(35mg) 즉시 초과,1일 1정,아침 식후 또는 점심 식후
아연,2,솔가 아연 50,아연,아연 50mg,"단일만으로 상한 초과, 면역 저하 및 구토 경고",1일 1정,
아연,3,종근단 아연 플러스,아연,아연 30mg,종합비타민(11mg)과 중복 스캔 시 상한(35mg)즉시 초과,1일 1회 1정,
칼슘,1,솔가 칼마디 (복합),칼슘 / 마그네슘 / 비타민D,칼슘 1000mg / 마그네슘 500mg / D 10㎍,비타민C와 중복 시 결석 발생 트리거,1일 1정,점심 또는 저녁 식후
칼슘,2,종근당건강 칼슘,칼슘 / 비타민D / 아연,칼슘 300mg / D 25㎍ / 마그네슘 150mg,함정: 아연이 숨어있으므로 아연 누적치에 합산,1일 2정,
칼슘,3,네이처메이드 칼마디,칼슘 / 마그네슘 / 아연,칼슘 333mg / 마그네슘 133mg / 아연 5mg,함정: 아연이 숨어있으므로 아연 누적치에 합산,1일 3정 3회로 나눠서,
오메가3,1,종근당 프로메가,EPA + DHA / 비타민E,오메가3 500mg / E 11mg,지용성 비타민E 중복 스캔 주의,1일 2정,점심 또는 저녁 식후
오메가3,2,스포츠리서치 트리플,EPA + DHA,오메가3 1040mg,"루테인, 지용성 비타민(A, D)과 흡수 시너지 추천",1일 1-2정,
오메가3,3,노르딕 내추럴스 얼티밋,EPA + DHA / 비타민D,오메가3 1120mg,"고함량으로 혈행 개선, 출혈 위험군 경고 가능",1일 1정,
루테인,1,안국건강 루테인지아잔틴,루테인,루테인 16.503mg,종합비타민과 스캔 시 비타민 A 축적 독성 경고,1일 1정,저녁 식사 직후
루테인,2,종근당 아이클리어,루테인 / 비타민A,루테인 18.2mg / A 400㎍,함정: 비타민A와 아연 두 가지 동시 중복 주의,1일 1정,
루테인,3,뉴트리원 루테인164,루테인/비타민A/비타민C/비타민 D,루테인 18.18mg / A 210㎍ / C 30mg / D 3㎍ ,비타민 A 상한선(3000㎍) 로직 합산용,1일 1정,
유산균,1,종근당 락토핏 골드,프로바이오틱스 / 아연,1000000000CFU / 아연 2.55mg,"함정: 아연이 미량 포함. 단독은 안전, 합산용",1일 1포,아침 공복
유산균,2,자로우 도피러스,프로바이오틱스,5000000000 CFU,중복 위험 거의 없음. 베이스라인 데이터,1일 1캡슐,
유산균,3,덴마크유산균이야기,프로바이오틱스,10000000000 CFU,중복 위험 거의 없음. 베이스라인 데이터,1일 1캡슐,
단백질,1,옵티멈 뉴트리션 골드스탠다드,단백질 / BCAA,단백질 24g / BCAA 5.5g,엑스텐드(BCAA) 스캔 시 아미노산 중복(신장) 경고,1일 1스쿱(30g),운동 직후/ 취침 전
단백질,2,BSN 신타6,단백질 / 필수아미노산,단백질 22g / EAA 10g,BCAA 계열 보충제와 절대 중복 방지,1일 1스쿱(22g),
단백질,3,일동후디스 하이뮨,단백질 / 비타민D / 아연,단백질 18g / D 10㎍ / 아연 6mg,함정: 종합비타민 + 하이뮨 조합 시 D와 아연 누적,1일 1포( 37g),
BCAA,1,엑스텐드 오리지널,BCAA / 비타민B6,BCAA 7g / B6 0.64mg,함정: 종합비타민이나 단백질과 겹치는 더블 트러블,1회 1포(14g),운동 직후
BCAA,2,마이프로틴 BCAA,BCAA,BCAA 5g,단백질 보충제 스캔 시 중복 경고, 1회 2스쿱 (7g),
BCAA,3,머슬팜 컴뱃 BCAA,BCAA,BCAA 6g,단백질 보충제 스캔 시 중복 경고,1회 1스쿱(12g),
